epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,268.711,1.15637,0.92462,0.99355,0.24018,0.00333254,0.00333254,0.00333254
2,544.358,0.50375,0.92342,0.99564,0.23536,0.00622592,0.00622592,0.00622592
3,781.591,0.65912,0.91153,0.99283,0.2763,0.00867931,0.00867931,0.00867931
4,1015.01,0.69092,0.93208,0.99552,0.21214,0.00802,0.00802,0.00802
5,1247.05,0.55042,0.94636,0.99654,0.16196,0.00736,0.00736,0.00736
6,1542.17,0.43739,0.95544,0.99749,0.13316,0.0067,0.0067,0.0067
7,1776.08,0.37172,0.96715,0.99785,0.10654,0.00604,0.00604,0.00604
8,2009.42,0.31072,0.96989,0.99827,0.09132,0.00538,0.00538,0.00538
9,2243.94,0.27226,0.97366,0.99845,0.07924,0.00472,0.00472,0.00472
10,2477.06,0.22942,0.9773,0.99869,0.07167,0.00406,0.00406,0.00406
11,2710.48,0.19684,0.97838,0.99881,0.06766,0.0034,0.0034,0.0034
12,2946.97,0.17033,0.97999,0.99898,0.0625,0.00274,0.00274,0.00274
13,3181.46,0.1422,0.98112,0.99916,0.05888,0.00208,0.00208,0.00208
14,3416.12,0.11995,0.98166,0.99898,0.05663,0.00142,0.00142,0.00142
15,3650.22,0.10281,0.98226,0.99904,0.05493,0.00076,0.00076,0.00076
